Directors,Title
A. Edward Sutherland,1
A.J. Eaton,1
A.T. White,1
"Aamir Khan,Amole Gupte",1
Aanand L. Rai,1
Aaron B. Koontz,1
"Aaron Blaise,Robert Walker",1
Aaron Fisher,1
"Aaron Hann,Mario Miscione",1
Aaron Harvey,1
Aaron J. Wiederspahn,1
Aaron Lieber,1
"Aaron McCann,Dominic Pearce",1
Aaron Mirtes,1
"Aaron Rose,Joshua Leonard",1
Aaron Sorkin,1
Aaron Woodley,2
Aaron Woolf,1
Abby Epstein,1
Abdellatif Kechiche,1
Abe Forsythe,1
Abel Ferrara,4
Abhay Chopra,1
Abhinay Deo,1
"Abhinay Deo,Akshat Verma",1
Abhishek Chaubey,1
Abhishek Kapoor,2
Abhishek Sharma,1
Abhishek Varman,2
"Abigail Disney,Kathleen Hughes",1
Adam Alleca,1
Adam Bhala Lough,2
"Adam Carolla,Nate Adams",1
Adam Christian Clark,1
Adam Davis,1
"Adam Del Deo,James D. Stern",1
Adam Egypt Mortimer,1
Adam Garnet Jones,1
Adam Green,2
"Adam Green,Joe Lynch,Bear McCreary,Adam Rifkin,Tim Sullivan",1
Adam Kane,1
"Adam Kassen,Mark Kassen",1
Adam Leon,1
Adam Levins,1
Adam MacDonald,1
Adam Marino,1
Adam Massey,1
Adam McKay,1
Adam Nimoy,1
Adam Randall,1
Adam Rapp,1
Adam Rifkin,3
Adam Rodgers,1
Adam Salky,1
Adam Shankman,2
Adam Simon,2
Adam Smith,1
Adam Yauch,1
Aditya Chopra,2
Adrian Grunberg,2
Adrian Lyne,1
Adrian Vitoria,1
Adrián García Bogliano,1
"Adrián García Bogliano,Ramiro García Bogliano",1
Advait Chandan,1
Afia Nathaniel,1
Agnieszka Holland,1
Aisling Walsh,1
Aislinn Clarke,1
Ajay Devgn,1
Ajmal Zaheer Ahmad,1
Akarsh Khurana,1
Akira Kurosawa,2
Akiva Schaffer,1
"Akiyuki Shinbo,Nobuyuki Takeuchi",1
Akshay Roy,1
Aktan Arym Kubat,1
Alain Corneau,1
Alain Desrochers,1
Alain Gomis,1
Alain Gsponer,1
Alan Crosland,1
Alan Govenar,2
Alan Metter,1
Alan Parker,2
"Alan Polsky,Gabe Polsky",1
Alan Rickman,1
Alan Rudolph,1
Alan Taylor,1
Alan Yang,1
Alan Zweig,1
Alanis Obomsawin,1
"Alastair Fothergill,Jeff Wilson",1
"Alastair Fothergill,Mark Linfield",1
Alastair Siddons,1
Albert Band,1
"Albert Hughes,Allen Hughes",2
Albert Pyun,1
Alberto Rodríguez,1
Alec Gillis,1
Alejandra Márquez Abella,1
Alejandro Amenábar,3
Alejandro G. Iñárritu,2
Alejandro Landes,1
Aleksandr Chernyaev,1
Aleksandr Sokurov,1
Aleksey German Jr.,1
Aleksey Popogrebskiy,1
Alessio Cremonini,1
Alethea Jones,1
Alex Cox,1
"Alex Dawson,Greg Gricus",1
Alex De Rakoff,1
Alex Fegan,1
Alex Garland,2
Alex Gibney,1
"Alex Gregory,Peter Huyck",1
"Alex Haughey,Brian Vidal",1
"Alex Holdridge,Linnea Saasen",1
Alex Infascelli,1
Alex Karpovsky,1
Alex Lehmann,3
Alex Orr,1
Alex Pettyfer,1
Alex Ranarivelo,1
Alex Richanbach,1
Alex Ross Perry,3
Alex Rotaru,1
Alex Shuper,1
"Alex Smith,Andrew J. Smith",1
Alex Timbers,1
Alex Turner,1
Alex Winter,1
Alex Zamm,3
"Alexander Esway,Billy Wilder",1
Alexander Korda,2
Alexander Mackendrick,1
Alexander Nevsky,1
Alexander Payne,1
Alexander Witt,1
Alexandra Dean,1
Alexandre Aja,2
Alexandre Arcady,1
"Alexandre Heboyan,Benoît Philippon",1
Alexandre Moors,1
Alexandre O. Philippe,2
Alexandre Rockwell,1
Alexandria Bombach,1
"Alexi Pappas,Jeremy Teicher",1
Alexis Bloom,1
Alexis Dos Santos,1
Alexis Michalik,1
Alexs Stadermann,1
Alfonso Cortés-Cavanillas,1
Alfonso Cuarón,2
Alfred E. Green,1
"Alfred Gimeno,Eric Radomski",1
Alfred Hitchcock,3
"Alfred L. Werker,Anthony Mann",1
Alfred Sole,1
Alfredo Rodriguez de Villa,1
Ali Abbas Zafar,3
Ali Abbasi,2
Ali Selim,1
Alice Rohrwacher,1
Alice Winocour,1
Alice Wu,1
Alireza Khatami,1
